Month,Crimes,,
2017-01,46,,
2017-02,61,,
2017-03,54,,
2017-04,48,,
2017-05,49,,
2017-06,51,,
2017-07,43,,
2017-08,68,,
2017-09,52,,
2017-10,59,,
2017-11,63,,
2017-12,73,,
2018-01,48,,
2018-02,44,,
2018-03,60,,
2018-04,51,,
2018-05,52,,
2018-06,43,,
2018-07,63,,
2018-08,52,,
2018-09,45,,
2018-10,53,,
2018-11,32,,
2018-12,56,,
2019-01,53,,
2019-02,55,,
2019-03,65,,
2019-04,60,,
2019-05,55,,
2019-06,69,,
2019-07,75,,
2019-08,55,,
2019-09,63,,
2019-10,64,,
2019-11,71,,
2019-12,59,,
2020-01,74,,
2020-02,48,,
2020-03,44,,
2020-04,50,,
2020-05,46,,
2020-06,46,,
2020-07,62,,
2020-08,56,,
2020-09,63,,
2020-10,56,,
2020-11,70,,
2020-12,69,,
2021-01,63,,
2021-02,44,,
2021-03,61,,
2021-04,43,,
2021-05,68,,
2021-06,70,,
2021-07,68,,
2021-08,68,,
2021-09,58,,
2021-10,65,,
2021-11,50,,
2021-12,70,,
2022-01,67,,
2022-02,67,,
2022-03,69,,
2022-04,64,,
2022-05,77,,
2022-06,80,,
2022-07,80,,
2022-08,87,,
2022-09,1,,
2022-10,0,,
2022-11,0,,
2022-12,0,,
