Month,House Prices
2017-01,1745131
2017-02,1769757
2017-03,1771831
2017-04,1769394
2017-05,1750005
2017-06,1745663
2017-07,1700026
2017-08,1708526
2017-09,1729568
2017-10,1717668
2017-11,1736331
2017-12,1763510
2018-01,1702331
2018-02,1712226
2018-03,1786500
2018-04,1837836
2018-05,1873357
2018-06,1882547
2018-07,1879705
2018-08,1893926
2018-09,1880768
2018-10,1919731
2018-11,1903421
2018-12,1832610
2019-01,1860973
2019-02,1855178
2019-03,1825105
2019-04,2254805
2019-05,2310000
2019-06,2310089
2019-07,2283715
2019-08,2294568
2019-09,2329142
2019-10,2328189
2019-11,2333500
2019-12,2344757
2020-01,2371347
2020-02,2367794
2020-03,2407452
2020-04,2408384
2020-05,2019036
2020-06,2252442
2020-07,2284484
2020-08,2283963
2020-09,2013078
2020-10,2034605
2020-11,2514689
2020-12,2521984
2021-01,2534394
2021-02,2567915
2021-03,2578278
2021-04,2640484
2021-05,2665526
2021-06,1963578
2021-07,2636552
2021-08,2616552
2021-09,2390094
2021-10,2593263
2021-11,2611042
2021-12,2644994
2022-01,2668826
2022-02,2725026
2022-03,2982184
2022-04,2995500
2022-05,3005126
2022-06,2971273
2022-07,2908484
2022-08,3000542
2022-09,3267973
2022-10,3290468
2022-11,3347731
