Month,Crimes
2017-01,49
2017-02,74
2017-03,67
2017-04,67
2017-05,80
2017-06,79
2017-07,68
2017-08,96
2017-09,98
2017-10,97
2017-11,89
2017-12,54
2018-01,65
2018-02,43
2018-03,58
2018-04,73
2018-05,88
2018-06,91
2018-07,97
2018-08,108
2018-09,95
2018-10,98
2018-11,76
2018-12,54
2019-01,71
2019-02,53
2019-03,71
2019-04,77
2019-05,79
2019-06,90
2019-07,84
2019-08,88
2019-09,91
2019-10,69
2019-11,81
2019-12,88
2020-01,90
2020-02,72
2020-03,59
2020-04,70
2020-05,86
2020-06,69
2020-07,87
2020-08,80
2020-09,69
2020-10,69
2020-11,83
2020-12,105
2021-01,69
2021-02,66
2021-03,72
2021-04,76
2021-05,82
2021-06,89
2021-07,74
2021-08,74
2021-09,93
2021-10,75
2021-11,50
2021-12,87
2022-01,74
2022-02,57
2022-03,97
2022-04,96
2022-05,109
2022-06,100
2022-07,113
2022-08,94
